x1,x2
1.460500,1.348277
1.448298,1.349572
1.436095,1.348985
1.423893,1.347366
1.414118,1.345517
1.411691,1.345122
1.399489,1.342435
1.387287,1.339259
1.375085,1.335628
1.373114,1.334952
1.362882,1.331472
1.350680,1.326296
1.347083,1.324388
1.338478,1.319571
1.331228,1.313823
1.326276,1.309583
1.321296,1.303258
1.314074,1.292738
1.314053,1.292693
1.308907,1.282128
1.304079,1.271563
1.301872,1.267102
1.299781,1.260998
1.295767,1.250433
1.291633,1.239868
1.289669,1.235393
1.287712,1.229304
1.283903,1.218739
1.279953,1.208174
1.277467,1.202005
1.276093,1.197609
1.272398,1.187044
1.268608,1.176479
1.265265,1.167336
1.264839,1.165914
1.261331,1.155349
1.257811,1.144784
1.254362,1.134220
1.253063,1.130256
1.251159,1.123655
1.248153,1.113090
1.245357,1.102525
1.242861,1.091960
1.240861,1.081999
1.240748,1.081395
1.239075,1.070830
1.237863,1.060265
1.237163,1.049701
1.236999,1.039136
1.237367,1.028571
1.238240,1.018006
1.239572,1.007441
1.240861,0.999676
1.241289,0.996876
1.243303,0.986311
1.245604,0.975746
1.248142,0.965181
1.250871,0.954617
1.253063,0.946628
1.253744,0.944052
1.256748,0.933487
1.259915,0.922922
1.263244,0.912357
1.265265,0.906229
1.266762,0.901792
1.270567,0.891227
1.274718,0.880662
1.277467,0.874235
1.279360,0.870097
1.284743,0.859533
1.289669,0.851158
1.291078,0.848968
1.298836,0.838403
1.301872,0.834839
1.308442,0.827838
1.314074,0.822628
1.320394,0.817273
1.326276,0.812830
1.334996,0.806708
1.338478,0.804465
1.350680,0.796986
1.352127,0.796143
1.362882,0.790091
1.371262,0.785578
1.375085,0.783534
1.387287,0.777207
1.391742,0.775014
1.399489,0.771033
1.411691,0.765005
1.412915,0.764449
1.423893,0.758982
1.434665,0.753884
1.436095,0.753120
1.448298,0.747193
1.456907,0.743319
1.460500,0.741405
1.472702,0.735578
1.479309,0.732754
1.484904,0.729776
1.497106,0.723939
1.501302,0.722189
1.509308,0.717797
1.521120,0.711624
1.521511,0.711346
1.533713,0.703373
1.537139,0.701059
1.545915,0.692424
1.547732,0.690494
1.554836,0.679930
1.558117,0.672834
1.559621,0.669365
1.563223,0.658800
1.566029,0.648235
1.568330,0.637670
1.570299,0.627105
1.570319,0.626981
1.572086,0.616540
1.573756,0.605975
1.575347,0.595410
1.576885,0.584846
1.578383,0.574281
1.579853,0.563716
1.581298,0.553151
1.582522,0.543981
1.582728,0.542586
1.584206,0.532021
1.585702,0.521456
1.587215,0.510891
1.588741,0.500326
1.590277,0.489762
1.591817,0.479197
1.593356,0.468632
1.594724,0.459058
1.594901,0.458067
1.596571,0.447502
1.598279,0.436937
1.600017,0.426372
1.601777,0.415807
1.603549,0.405243
1.605321,0.394678
1.606926,0.384875
1.607100,0.384113
1.609105,0.373548
1.611153,0.362983
1.613226,0.352418
1.615303,0.341853
1.617362,0.331288
1.619128,0.321759
1.619423,0.320723
1.621804,0.310159
1.624191,0.299594
1.626540,0.289029
1.628797,0.278464
1.630895,0.267899
1.631330,0.264833
1.633094,0.257334
1.634992,0.246769
1.636228,0.236204
1.636510,0.225639
1.635624,0.215075
1.633581,0.204510
1.631330,0.196104
1.630688,0.193945
1.627023,0.183380
1.622811,0.172815
1.619128,0.163550
1.618535,0.162250
1.613879,0.151685
1.609209,0.141120
1.606926,0.135295
1.604640,0.130556
1.599814,0.119991
1.595279,0.109426
1.594724,0.107843
1.590528,0.098861
1.585798,0.088296
1.582522,0.079959
1.581357,0.077731
1.576532,0.067166
1.571999,0.056601
1.570319,0.051774
1.567447,0.046036
1.562704,0.035472
1.558416,0.024907
1.558117,0.023912
1.553640,0.014342
1.549041,0.003777
1.545915,-0.004751
1.544755,-0.006788
1.539940,-0.017353
1.535534,-0.027918
1.533713,-0.033586
1.531075,-0.038483
1.526351,-0.049048
1.522174,-0.059612
1.521511,-0.062023
1.517458,-0.070177
1.512877,-0.080742
1.509308,-0.090544
1.508807,-0.091307
1.503914,-0.101872
1.499517,-0.112437
1.497106,-0.120009
1.495253,-0.123002
1.490452,-0.133567
1.486271,-0.144132
1.484904,-0.149149
1.481743,-0.154696
1.477079,-0.165261
1.473134,-0.175826
1.472702,-0.177732
1.468286,-0.186391
1.463798,-0.196956
1.460500,-0.206696
1.459871,-0.207521
1.454893,-0.218086
1.450609,-0.228651
1.448298,-0.236558
1.446420,-0.239215
1.441571,-0.249780
1.437511,-0.260345
1.436095,-0.266083
1.433006,-0.270910
1.428323,-0.281475
1.424500,-0.292040
1.423893,-0.295040
1.419641,-0.302605
1.415152,-0.313170
1.411691,-0.323511
1.411482,-0.323735
1.406330,-0.334299
1.402057,-0.344864
1.399489,-0.353790
1.398076,-0.355429
1.393080,-0.365994
1.389038,-0.376559
1.387287,-0.383796
1.384702,-0.387124
1.379894,-0.397689
1.376092,-0.408254
1.375085,-0.413348
1.371370,-0.418819
1.366774,-0.429383
1.363217,-0.439948
1.362882,-0.442100
1.358086,-0.450513
1.353721,-0.461078
1.350680,-0.471147
1.350124,-0.471643
1.344856,-0.482208
1.340735,-0.492773
1.338478,-0.501620
1.336739,-0.503338
1.331685,-0.513902
1.327815,-0.524467
1.326276,-0.531793
1.323391,-0.535032
1.318574,-0.545597
1.314958,-0.556162
1.314074,-0.561451
1.310088,-0.566727
1.305526,-0.577292
1.302161,-0.587857
1.301872,-0.590148
1.296837,-0.598422
1.292540,-0.608986
1.289669,-0.619132
1.289085,-0.619551
1.283642,-0.630116
1.279617,-0.640681
1.277467,-0.649799
1.275675,-0.651246
1.270508,-0.661811
1.266754,-0.672376
1.265265,-0.680176
1.262312,-0.682941
1.257435,-0.693506
1.253951,-0.704070
1.253063,-0.710043
1.249002,-0.714635
1.244425,-0.725200
1.241203,-0.735765
1.240861,-0.738905
1.235752,-0.746330
1.231478,-0.756895
1.228659,-0.767229
1.228247,-0.767460
1.222564,-0.778025
1.218592,-0.788589
1.216456,-0.798082
1.214779,-0.799154
1.209442,-0.809719
1.205766,-0.820284
1.204254,-0.828680
1.201371,-0.830849
1.196386,-0.841414
1.192997,-0.851979
1.192052,-0.858820
1.188029,-0.862544
1.183396,-0.873109
1.180281,-0.883673
1.179850,-0.888031
1.174757,-0.894238
1.170471,-0.904803
1.167648,-0.915327
1.167551,-0.915368
1.161558,-0.925933
1.157608,-0.936498
1.155446,-0.946347
1.153995,-0.947063
1.148432,-0.957628
1.144806,-0.968193
1.143243,-0.977155
1.140517,-0.978757
